Institution,main_office,branch_name,branch_number,established_date,street_address,City,County,State,Zipcode,2010_Deposits,2011_Deposits,2012_Deposits,2013_Deposits,2014_Deposits,2015_Deposits,2016_Deposits,row_num
JPM Chase Bank,0,Abingdon Square Branch,875,1975-07-30,302 West 12th Street,New York City,New York,NY,10014,233563,257828,267549,314217,322582,332715,343206,1
JPM Chase Bank,0,Acme Branch,2830,1972-01-03,5754 US 31 N,Williamsburg,Genesee,MI,49690,29777,33565,34099,38593,35298,39696,38011,1
JPM Chase Bank,0,Acme No. 1 Branch,1621,1980-09-18,1835 West Market Street,Akron,Summit,OH,44313,33708,36399,38747,37760,37056,36653,38340,1
JPM Chase Bank,0,Ada Branch,2796,1965-12-08,455 Ada Drive Southeast,Ada,Kent,MI,49301,34830,37147,43625,49055,43707,60674,70918,1
JPM Chase Bank,0,Addison Branch,2327,1982-10-12,14114 Dallas Parkway A150,Dallas,Dallas,TX,75254,104292,107269,109957,115834,123869,139709,165090,1
JPM Chase Bank,0,Ahwatukee Branch,2498,1979-11-05,4745 East Elliot Road,Phoenix,Maricopa,AZ,85044,113440,129625,143903,144843,158563,172883,199900,1
JPM Chase Bank,0,Air Depot and 15th Branch,3271,1992-12-18,7005 Southeast 15th Street,Midwest City,Oklahoma,OK,73110,22622,20971,24444,26448,26718,28310,31022,1
JPM Chase Bank,0,Airline Bossier Branch,2057,1950-06-06,2039 Airline Drive,Bossier City,Bossier,LA,71111,44995,45022,51476,56380,57263,63739,70465,1
JPM Chase Bank,0,Airline Branch,1325,1958-08-29,5207 Airline Drive,Houston,Harris,TX,77022,159938,160526,172907,182475,190342,199809,203489,1
JPM Chase Bank,0,Airline Branch,2062,1966-03-02,5900 Airline Highway,Baton Rouge,East Baton Rouge,LA,70805,16333,16784,18243,19175,18570,18464,41088,1
JPM Chase Bank,0,Airway Woodman Branch,1755,1965-01-25,175 Woodman Drive,Dayton,Montgomery,OH,45431,39189,38236,40079,41934,40934,41776,44376,1
JPM Chase Bank,0,Ajo Way and 16th Ave Branch,2462,1970-06-22,728 West Ajo Way,Tucson,Pima,AZ,85713,59114,58076,60311,71965,72877,75895,84820,1
JPM Chase Bank,0,Akron Centre Branch,1628,1983-10-31,50 South Main Street,Akron,Summit,OH,44308,23853,24800,25366,27060,26539,30969,38722,1
JPM Chase Bank,0,Akron Square Branch,1611,1971-12-20,1615 South Arlington Street,Akron,Summit,OH,44306,540208,600551,565156,555304,586487,516444,515475,1
JPM Chase Bank,0,Alameda Branch,3095,1962-10-15,5500 West Alameda Avenue,Lakewood,Jefferson,CO,80226,67738,71186,75921,83224,86789,97804,106955,1
JPM Chase Bank,0,Alamo Heights Branch,3140,2002-03-27,5900 Broadway Street,San Antonio,Bexar,TX,78209,46609,41330,43333,49739,53403,60139,65117,1
JPM Chase Bank,0,Albee Square Branch,503,1950-10-16,20 Flatbush Avenue,Brooklyn,Kings,NY,11217,76183,80761,109879,114184,125820,136994,143496,1
JPM Chase Bank,0,Alden Bridge Branch,1466,1998-09-14,8201 Kuykendahl,The Woodlands,Montgomery,TX,77382,91276,98771,99803,123252,131600,144290,162449,1
JPM Chase Bank,0,Alexandria Main Branch,2194,1888-09-10,400 Murray Street,Alexandria,Rapides,LA,71301,44935,90741,99818,124525,123778,119997,94396,1
JPM Chase Bank,0,Alger Heights Branch,2798,1959-07-20,"2430 Eastern Avenue, S.E.",Grand Rapids,Kent,MI,49507,19908,18780,23271,25675,25790,25360,26711,1
JPM Chase Bank,0,Algonquin Branch,1975,1992-07-01,1350 East Algonquin Road,Algonquin,McHenry,IL,60102,35851,37841,42359,45192,52438,56160,63288,1
JPM Chase Bank,0,Allen Center Branch,1351,1964-04-15,"500 Dallas St, Ste L-10",Houston,Harris,TX,77002,116792,126447,139976,151001,172350,190353,192687,1
JPM Chase Bank,0,Allen Park Branch,2745,1950-11-07,14601 Southfield,Allen Park,Wayne,MI,48101,37233,37565,37780,40021,42980,65898,61180,1
JPM Chase Bank,0,Allen-King Branch,2695,1979-04-02,20920 Allen Road,Brownstown Township,Wayne,MI,48183,75984,81671,86816,90295,96517,110380,124567,1
JPM Chase Bank,0,Allerton Avenue Branch,466,1936-08-01,748 Allerton Avenue,Bronx,Bronx,NY,10467,66486,67543,63695,66252,70273,76970,82549,1
JPM Chase Bank,0,Alliance Center Branch,1632,1968-05-20,1207 West State Street,Alliance,Stark,OH,44601,86310,92686,97682,97790,92635,98856,94052,1
JPM Chase Bank,0,Allison Lane Branch,3253,1972-12-22,2501 Allison Lane,Jeffersonville,Clark,IN,47130,42228,41485,44265,49430,48462,48584,54002,1
JPM Chase Bank,0,Allisonville Road and 62nd Branch,3014,1961-12-19,6210 Allisonville Road,Indianapolis,Marion,IN,46220,58081,57697,63164,67093,70853,76915,82400,1
JPM Chase Bank,0,Allouez Branch,2911,1968-03-29,2635 Libal Street,Green Bay,Brown,WI,54301,37261,37766,39912,41831,42954,44027,47406,1
JPM Chase Bank,0,Alma School and Queen Creek Branch,2610,2002-01-02,1025 West Queen Creek,Chandler,Maricopa,AZ,85248,100768,102076,112138,122571,124130,130004,151642,1
JPM Chase Bank,0,Alma School-Warner Branch,2524,1985-07-29,1998 North Alma School Road,Chandler,Maricopa,AZ,85224,75235,89133,94511,87215,95655,103375,129411,1
JPM Chase Bank,0,Almeda Genoa Branch,1362,1970-09-17,11650 Fuqua Street,Houston,Harris,TX,77034,93573,97048,111588,117178,130847,134455,135559,1
JPM Chase Bank,0,Almeda Genoa Motor Bank Branch,1363,1982-06-21,11650 Fuqua,Houston,Harris,TX,77034,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Alpine Lamoreaux Branch,2815,1983-07-18,4366 Alpine Avenue,Comstock Park,Kent,MI,49321,31315,33536,33513,46150,44317,51624,54802,1
JPM Chase Bank,0,Alta View Branch,2599,1978-04-03,8590 South 1300 East,Sandy,Salt Lake,UT,84094,37237,38153,40261,49005,53004,54383,55301,1
JPM Chase Bank,0,Alvernon and 22nd Frys Branch,2539,1937-05-14,4150 East 22nd Street,Tucson,Pima,AZ,85711,10504,11376,13915,13678,11716,12212,12753,1
JPM Chase Bank,0,Alvernon and Grant Frys Branch,2550,1987-06-30,3920 East Grant Road,Tucson,Pima,AZ,85712,12193,12104,13416,13501,13508,15190,15371,1
JPM Chase Bank,0,Amarillo Branch,2341,1936-01-11,"600 S Tyler Street, Suite 100",Amarillo,Potter,TX,79101,51736,47075,47768,48700,46635,43420,46819,1
JPM Chase Bank,0,Amelia Branch,1711,1934-08-01,2 West Main Street,Amelia,Clermont,OH,45102,24870,23424,29849,29705,29845,27472,30453,1
JPM Chase Bank,0,Amherst Branch,1602,1970-12-10,5971 Leavitt Road,Lorain,Lorain,OH,44053,36004,38715,44478,49433,54823,56945,60484,1
JPM Chase Bank,0,Amityville Drive-In Branch,1283,1998-06-30,4 John Street,Amityville,Suffolk,NY,11701,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Amityville Driveup Branch,174,1954-06-14,4 John St,Amityville,Suffolk,NY,11701,93106,92272,96994,118907,115708,120730,125922,1
JPM Chase Bank,0,Antigo Main Branch,2894,1909-01-25,700 Fifth Avenue,Antigo,Langlade,WI,54409,54152,42828,43477,41077,44265,43664,42056,1
JPM Chase Bank,0,Antioch Branch,1871,1934-05-01,425 Lake Street,Antioch,Lake,IL,60002,50991,53234,58262,62595,64997,68393,71292,1
JPM Chase Bank,0,Apache Branch,3287,1958-05-01,601 E. Apache Street,Tulsa,Tulsa,OK,74106,13358,13041,13081,13854,13463,13356,13741,1
JPM Chase Bank,0,Apache Junction Branch,2489,1976-05-03,1148 West Apache Trail,Apache Junction,Pinal,AZ,85120,105062,104087,108987,109812,111205,118384,116608,1
JPM Chase Bank,0,Appleton Drive-Up Branch,2897,1962-09-24,127 North Appleton Street,Appleton,Outagamie,WI,54911,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Appleton Main Branch,2895,1966-02-28,200 West College Avenue,Appleton,Outagamie,WI,54911,223146,253314,281540,295447,310291,400746,319214,1
JPM Chase Bank,0,Arapaho and Hillcrest Branch,2284,1925-01-01,6969 Arapaho Road,Dallas,Dallas,TX,75248,68320,71792,82411,95099,96461,109818,114340,1
JPM Chase Bank,0,Arapahoe Branch,3101,1960-11-28,2500 Arapahoe Avenue,Boulder,Boulder,CO,80302,120869,122967,140630,162459,175233,199644,226740,1
JPM Chase Bank,0,Arboretum Branch,2232,1986-07-28,9739 Great Hills Trail,Austin,Travis,TX,78759,140775,146486,166735,177776,189413,205298,242236,1
JPM Chase Bank,0,Archer Branch,1880,1887-01-01,4363 South Archer Avenue,Chicago,Cook,IL,60632,80137,84795,98131,106761,120467,133651,148351,1
JPM Chase Bank,0,Arden Heights Branch,1123,1990-06-30,230 Arden Avenue,Staten Island,Richmond,NY,10312,165571,168259,167081,195490,202702,214585,240629,1
JPM Chase Bank,0,Ardsley Branch,843,1966-12-20,875 Saw Mill River Road,Ardsley,Westchester,NY,10502,102165,104157,115666,126992,135502,144205,154608,1
JPM Chase Bank,0,Arlington Avenue Branch,2929,1949-05-23,1215 North Arlington Avenue,Indianapolis,Marion,IN,46219,59477,56845,58147,60064,59822,56953,60118,1
JPM Chase Bank,0,Arlington Drive-Up Facility Branch,2239,1981-02-23,2300 James Street,Arlington,Tarrant,TX,76014,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Arlington Heights Dunton Branch,1992,1997-09-06,One North Dunton Avenue,Arlington Heights,Cook,IL,60005,313906,320457,345349,368903,375218,395517,411665,1
JPM Chase Bank,0,Arlington Main Branch,2236,1962-07-27,2300 James Street,Arlington,Tarrant,TX,76014,373499,352625,385798,391111,361445,375163,395339,1
JPM Chase Bank,0,Arlington Rand Branch,1941,1970-12-17,300 East Rand Road,Arlington Hts.,Cook,IL,60004,136229,164619,161888,184176,194300,227893,327389,1
JPM Chase Bank,0,Arthur Avenue Branch,245,1952-11-24,2402 Arthur Avenue,Bronx,Bronx,NY,10458,91268,89264,91370,98079,100594,104040,115766,1
JPM Chase Bank,0,Arvada Branch,3304,2002-08-26,8015 Kipling St,Arvada,Jefferson,CO,80005,29652,30257,37858,43209,47897,54503,60430,1
JPM Chase Bank,0,Ashland Road Branch,1650,1978-06-19,800 Ashland Road,Mansfield,Richland,OH,44905,18989,21127,22788,23144,25349,26959,91176,1
JPM Chase Bank,0,Ashwaubenon Branch,2916,1991-11-01,935 Pilgrim Way,Green Bay,Brown,WI,54304,31560,33998,34306,37672,36977,44564,46172,1
JPM Chase Bank,0,Aston Gardens Banking Center Branch,3298,2003-05-23,1000 Aston Gardens Drive,Venice,Sarasota,FL,34292,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Astoria 30th Avenue Branch,110,1961-06-19,31-05 30th Avenue,Long Island City,Queens,NY,11102,148276,155347,176789,206933,228963,250939,272444,1
JPM Chase Bank,0,Athens Main Branch,1691,1905-05-16,2 S Court Street,Athens,Athens,OH,45701,99170,114178,99112,101125,111626,113417,141417,1
JPM Chase Bank,0,Auburn Hills Branch,2702,1952-09-10,3401 Auburn Road,Auburn Hills,Oakland,MI,48326,96399,103291,119391,132136,142643,159280,180723,1
JPM Chase Bank,0,Auburndale Branch,3195,1964-06-29,7403 Old Third Street Road,Louisville,Jefferson,KY,40214,49526,50528,52786,55019,56493,59200,60341,1
JPM Chase Bank,0,Audubon Branch,40,1917-04-02,3940 Broadway,New York City,New York,NY,10032,91380,97219,104093,106875,114292,122220,139830,1
JPM Chase Bank,0,Augusta Branch,2951,1976-07-15,6881 North Michigan Road,Indianapolis,Marion,IN,46268,30745,31402,34338,37775,37168,36364,38385,1
JPM Chase Bank,0,Aurora Branch,1623,1962-04-02,250 West Garfield Road,Aurora,Portage,OH,44202,53278,53336,63337,69616,68182,76391,86574,1
JPM Chase Bank,0,Austin Bluffs Branch,3105,1981-09-11,4190 Austin Bluffs Parkway,Colorado Springs,El Paso,CO,80918,52648,56465,60351,62262,68183,70354,78571,1
JPM Chase Bank,0,Austin Downtown Sixth St Branch,2230,1890-05-28,221 West 6th Street,Austin,Travis,TX,78701,1165344,1663634,1741770,1681479,1810582,1732639,1943526,1
JPM Chase Bank,0,Austintown Branch,1660,1970-07-20,5531 Mahoning Avenue,Youngstown,Mahoning,OH,44515,30127,29801,39509,35215,38436,37643,39493,1
JPM Chase Bank,0,Avenue H Branch,500,1962-10-01,1599 Flatbush Avenue,Brooklyn,Kings,NY,11210,100075,103583,109410,120122,118755,127984,174764,1
JPM Chase Bank,0,Avenue Of The Americas Branch,787,1800-01-01,1370 Avenue Of The Americas,New York City,New York,NY,10019,506396,518298,600258,635785,628139,679508,698544,1
JPM Chase Bank,0,Avenue Of The Americas Branch,1284,1997-07-01,"1211 Avenue Of The Americas, 39th Fl",New York City,New York,NY,10036,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Avenue U and East 17th St Branch,501,1900-01-01,1722 Avenue U,Brooklyn,Kings,NY,11229,257757,256109,269664,393884,410870,432799,480204,1
JPM Chase Bank,0,Avery Road Branch,1563,1991-10-07,6271 Perimeter Drive,Dublin,Franklin,OH,43017,121103,133515,153584,183540,189429,218169,222052,1
JPM Chase Bank,0,Avon Branch,2970,1985-01-04,29 S Sr 267,Avon,Hendricks,IN,46123,47969,49736,55018,61094,67730,73837,79280,1
JPM Chase Bank,0,Babylon Branch,176,1955-03-07,31 West Main Street,Babylon,Suffolk,NY,11702,261976,262704,261589,289395,281756,292377,314562,1
JPM Chase Bank,0,Bae Mar Branch,1827,1985-12-26,2 Bae Mar Place,Wheeling,Ohio,WV,26003,28345,30659,34223,40959,42469,47692,47495,1
JPM Chase Bank,0,Bailey Road Branch,1614,1973-10-03,2647 Bailey Road,Cuyahoga Falls,Summit,OH,44221,31537,34622,38573,45179,51738,51263,69715,1
JPM Chase Bank,0,Bainbridge Branch,149,1970-01-17,3169 Bainbridge Avenue,Bronx,Bronx,NY,10467,95881,97372,101001,106185,112012,108989,113878,1
JPM Chase Bank,0,Baker Branch,2059,1960-05-02,1702 Main Street,Baker,East Baton Rouge,LA,70714,28515,26391,27962,29917,31827,33939,34969,1
JPM Chase Bank,0,Baldwin Branch,2706,1957-03-13,1261 Baldwin Avenue,Pontiac,Oakland,MI,48340,37243,36815,39670,39880,55485,58362,61910,1
JPM Chase Bank,0,Ball Branch,2198,1979-02-16,5900 Monroe Highway,Ball,Rapides,LA,71405,18149,18957,19315,21487,19923,21417,24964,1
JPM Chase Bank,0,Bandera Branch,2303,1974-01-01,707 Bandera Road,San Antonio,Bexar,TX,78228,14362,14494,17741,18203,23423,27006,29264,1
JPM Chase Bank,0,Bar Harbour Branch,193,1957-05-11,4970 Merrick Road,Massapequa Park,Nassau,NY,11762,144089,140839,154233,182186,183189,191372,225002,1
JPM Chase Bank,0,Barberton Branch,1610,1971-04-15,444 E Robinson Avenue,Barberton,Summit,OH,44203,61596,63610,68020,69752,84400,88444,83591,1
JPM Chase Bank,0,Barboursville Branch,1796,1974-09-30,"6327 Route 60, East",Barboursville,Cabell,WV,25504,55482,56516,63490,69940,73586,76688,81734,1
JPM Chase Bank,0,Barclay Circle Branch,2682,1970-04-10,25 Barclay Circle Road,Rochester,Oakland,MI,48307,89324,102531,117043,127616,132550,169942,186562,1
JPM Chase Bank,0,Barrington Branch,1937,1934-08-01,136 W Northwest Hwy,Barrington,Lake,IL,60010,116582,167878,188646,121675,136475,135775,159717,1
JPM Chase Bank,0,Bartlett Branch,2017,1999-02-11,"1029 W Stearns Crossing, Ste B002",Bartlett,DuPage,IL,60103,28784,32166,36416,47685,49549,54571,58921,1
JPM Chase Bank,0,Barton Creek Branch,1381,1982-03-22,2224 Walsh Tarlton Lane,Austin,Travis,TX,78746,83271,86339,91199,99878,103354,112674,116255,1
JPM Chase Bank,0,Baseline and Vineyard Frys Branch,2578,1998-08-19,554 West Baseline Road,Mesa,Maricopa,AZ,85210,8081,8599,9200,10975,13223,12892,13783,1
JPM Chase Bank,0,Bashford Manor Lane Branch,3209,1976-02-23,3600 Bardstown Road,Louisville,Jefferson,KY,40218,41235,39243,40959,45163,45846,47352,52247,1
JPM Chase Bank,0,Bashor Road Branch,3007,1973-10-20,1716 Elkhart Road,Goshen,Elkhart,IN,46526,16152,16061,17313,19094,19661,21264,23790,1
JPM Chase Bank,0,Batavia Avenue Branch,1900,1973-01-02,130 South Batavia Avenue,Batavia,Kane,IL,60510,58623,66247,74090,81792,89933,91821,102554,1
JPM Chase Bank,0,Baton Rouge Main Branch,2036,1933-01-01,620 Laurel Street,Baton Rouge,East Baton Rouge,LA,70801,4301756,4379048,5014857,5228898,5400789,5348273,4995400,1
JPM Chase Bank,0,Battle Creek Branch,2782,1987-06-15,30 Hill Brady Road,Battle Creek,Calhoun,MI,49037,15232,16662,18352,21249,25518,27761,31424,1
JPM Chase Bank,0,Bay Area Boulevard Branch,1342,1982-05-24,2475 Bay Area Boulevard,Houston,Harris,TX,77058,127013,146230,157367,173747,187556,203565,211937,1
JPM Chase Bank,0,Bay Area Boulevard Motor Bank Branch,1368,1982-05-03,2475 Bay Area Boulevard,Houston,Harris,TX,77058,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Bay Mccarty Branch,2777,1975-12-29,4144 Bay Road,Saginaw,Saginaw,MI,48603,23415,26812,27595,30612,32257,43888,48256,1
JPM Chase Bank,0,Bay Parkway and 85th St Branch,26,1964-03-25,8418 Bay Parkway,Brooklyn,Kings,NY,11214,187794,195965,214398,227519,252124,278547,297821,1
JPM Chase Bank,0,Bay Ridge Third Avenue Branch,781,1962-06-16,9313 Third Avenue,Brooklyn,Kings,NY,11209,165459,171074,172700,202903,230673,245086,278846,1
JPM Chase Bank,0,Bay Terrace Branch,111,1960-06-06,2398 Bell Boulevard,Bayside,Queens,NY,11360,169397,164359,184653,210463,239369,253658,279639,1
JPM Chase Bank,0,Bayou Black Branch,2086,1973-07-12,1402 St. Charles Street,Houma,Terrebonne,LA,70360,37347,42235,46056,50541,53777,58190,60831,1
JPM Chase Bank,0,Bayou Blue Branch,2079,1970-09-21,2046 Bayou Blue Road,Houma,Lafourche,LA,70364,35281,40352,38094,38880,37606,34226,31150,1
JPM Chase Bank,0,Bayside South Branch,151,1970-09-26,215-16 73rd Avenue,Oakland Gardens,Queens,NY,11364,154441,155722,166811,178915,187522,185374,197150,1
JPM Chase Bank,0,Baytown Branch,2312,1927-01-01,1505 North Alexander Drive,Baytown,Harris,TX,77520,49478,50136,48272,49699,52237,53394,58259,1
JPM Chase Bank,0,Beachwood Branch,1585,1970-10-08,22801 Chagrin Boulevard,Beachwood,Cuyahoga,OH,44122,63568,78026,92251,95168,107750,115453,132021,1
JPM Chase Bank,0,Bear Creek Branch,1361,1979-03-01,4600 Highway 6 North,Houston,Harris,TX,77084,119267,130438,147595,152726,170762,187659,203733,1
JPM Chase Bank,0,Beardsley and 59th Ave Frys Branch,2582,1999-08-18,20220 North 59th Avenue,Glendale,Maricopa,AZ,85308,22444,24133,25770,32632,25482,28350,28131,1
JPM Chase Bank,0,Beardsley and 83rd Ave Branch,3302,2002-10-28,8280 West Lake Pleasant Parkway,Peoria,Maricopa,AZ,85382,34786,35339,41672,46303,49876,54343,57788,1
JPM Chase Bank,0,Beaver Branch,1800,1975-04-01,103 Airport Rd.,Beaver,Raleigh,WV,25813,68646,64161,76185,71136,71570,67998,68413,1
JPM Chase Bank,0,Beaver Dam Drive-Up Branch,2904,1970-01-05,200 North Spring Street,Beaver Dam,Dodge,WI,53916,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Beaver Dam Main Office Branch,2903,1911-09-20,124 North Spring Street,Beaver Dam,Dodge,WI,53916,51346,44837,52548,57925,60297,57303,61880,1
JPM Chase Bank,0,Beavercreek Branch,1769,1979-11-15,3414 Seajay Drive,Beavercreek,Greene,OH,45430,58907,53888,58415,61717,67764,67669,74244,1
JPM Chase Bank,0,Beckley Main Branch,1798,1984-03-01,"500 Neville Street, Suite 600",Beckley,Raleigh,WV,25801,90368,88722,92561,96771,95163,94420,92415,1
JPM Chase Bank,0,Bedford and Dekalb Branch,490,1950-10-16,975 Bedford Avenue,Brooklyn,Kings,NY,11205,41628,42412,53210,66539,78930,89326,100545,1
JPM Chase Bank,0,Bedford Harwood Branch,2294,1919-01-01,2204 Harwood Road,Bedford,Tarrant,TX,76021,79008,89313,99638,107890,113299,121836,139261,1
JPM Chase Bank,0,Bedford I Street Branch,2977,1899-05-22,1602 I Street,Bedford,Lawrence,IN,47421,60128,60002,61756,63224,60519,64408,69201,1
JPM Chase Bank,0,Bedford Village Branch,589,1971-11-08,420 Old Post Road,Bedford,Westchester,NY,10506,118327,120537,124930,126630,137616,130932,240960,1
JPM Chase Bank,0,Beech Grove Banking Center Branch,2948,1971-08-16,3605 South Emerson Avenue,Beech Grove,Marion,IN,46107,35939,36617,40175,43821,45087,48119,51975,1
JPM Chase Bank,0,Beecher Heights Branch,2747,1955-01-10,G-5491 North Saginaw Street,Flint,Genesee,MI,48505,21000,18464,19091,18289,19221,36346,38220,1
JPM Chase Bank,0,Beglis Parkway Branch,2187,1959-10-23,915 Beglis Parkway,Sulphur,Calcasieu,LA,70663,53458,53267,59841,62980,72847,77962,85567,1
JPM Chase Bank,0,Belden Dressler Branch,1629,1988-03-30,4600 Dressler Road,Canton,Stark,OH,44718,103883,121173,118147,137964,144777,161640,181642,1
JPM Chase Bank,0,Bell and 19th Avenue Branch,2492,1976-10-25,1735 West Bell Road,Phoenix,Maricopa,AZ,85023,66828,68502,76209,78422,80621,84830,110063,1
JPM Chase Bank,0,Bell Road and 35th Avenue Branch,2506,1980-12-15,3502 West Bell Road,Glendale,Maricopa,AZ,85308,94499,96777,117916,134792,150366,151789,158998,1
JPM Chase Bank,0,Bell Road and 77th Avenue Branch,2527,1987-11-16,7675 West Bell Road,Peoria,Maricopa,AZ,85382,114983,121687,124007,131606,151511,151779,160251,1
JPM Chase Bank,0,Bell Road-Cave Creek Branch,2454,1966-10-17,17140 North Cave Creek Road,Phoenix,Maricopa,AZ,85032,54807,54874,54507,57241,60077,64008,66399,1
JPM Chase Bank,0,Bellaire At Beltway Branch,1462,1998-01-26,9709 Bellaire Boulevard,Houston,Harris,TX,77036,173825,234991,241383,294393,359460,386461,542050,1
JPM Chase Bank,0,Bellaire Banking Center Branch,2394,2000-07-10,4056 Bellaire Boulevard,Houston,Harris,TX,77025,116231,128660,147685,176984,196743,207138,233637,1
JPM Chase Bank,0,Bellaire Branch,1824,1957-05-01,3201 Belmont Street,Bellaire,Belmont,OH,43906,27873,27162,28659,30702,35539,34124,32799,1
JPM Chase Bank,0,Bellaire Drive Up Branch,1822,1969-05-21,3191 Guernsey Street,Bellaire,Belmont,OH,43906,0,0,0,0,0,0,0,1
JPM Chase Bank,0,Belleveue Branch,1721,1959-09-25,90 Riviera Drive,Bellevue,Campbell,KY,41073,22134,23315,26257,27742,28523,31532,35462,1
JPM Chase Bank,0,Belleville Branch,2617,1956-11-01,465 Main Street,Belleville,Wayne,MI,48111,86861,89879,96769,101922,107263,113358,120860,1
JPM Chase Bank,0,Bellmead Wallmart Branch,2380,1995-01-25,1521 North Interstate 35,Bellmead,McLennan,TX,76705,8308,8167,9810,11559,12494,12496,14346,1
JPM Chase Bank,0,Bellmore Branch,465,1966-02-21,2631 Merrick Road,Bellmore,Nassau,NY,11710,157461,171357,180755,179743,193951,205398,218548,1
JPM Chase Bank,0,Belpre Branch,1679,1988-05-09,321 Main Street,Belpre,Washington,OH,45714,29117,31911,32895,34466,35316,37952,41428,1
JPM Chase Bank,0,Bensenville-Main Branch,2003,1998-03-09,123 West Main Street,Bensenville,DuPage,IL,60106,73805,76690,85854,95029,102068,109892,116865,1
JPM Chase Bank,0,Bensonhurst Branch,777,1800-01-01,85-23 20th Avenue,Brooklyn,Kings,NY,11214,142557,144241,144094,162097,158559,175765,183608,1
JPM Chase Bank,0,Bentley Branch,2751,1960-05-01,1232 South Belsay Road,Burton,Genesee,MI,48509,39012,41301,43998,46806,48748,54395,54444,1
JPM Chase Bank,0,Berea Branch,1598,1988-07-02,421 West Bagley Road,Berea,Cuyahoga,OH,44017,26753,31060,33270,34667,37832,38997,45210,1
JPM Chase Bank,0,Berwyn Branch,1882,1904-01-01,6532 West Cermak Road,Berwyn,Cook,IL,60402,78741,82061,94828,103228,106990,123312,141680,1
JPM Chase Bank,0,Bethany Home and 19th Avenue Branch,2432,1961-08-24,6030 North 19th Avenue,Phoenix,Maricopa,AZ,85015,56016,64878,63780,62050,60482,61104,65492,1
JPM Chase Bank,0,Bethany Home and 43rd Av Frys Branch,2555,1987-06-30,4353 West Bethany Home Road,Glendale,Maricopa,AZ,85301,8583,9215,10689,11578,11626,12346,13566,1
JPM Chase Bank,0,Bethany Home and 67th Av Frys Branch,2565,1989-06-30,6710 West Bethany Home Road,Glendale,Maricopa,AZ,85303,6827,8286,9237,10242,11863,12651,12870,1
JPM Chase Bank,0,Bethel Branch,1706,1986-02-15,601 West Plane Street,Bethel,Clermont,OH,45106,23899,23683,25381,27723,32076,32262,34878,1
JPM Chase Bank,0,Bethel Sawmill Banking Ctr. Branch,1560,1991-09-15,4810 Sawmill Road,Columbus,Franklin,OH,43235,33091,39814,48125,54295,59125,70257,82943,1
JPM Chase Bank,0,Biddle Eureka Branch,2716,1871-11-20,3200 Biddle Avenue,Wyandotte,Wayne,MI,48192,70274,69915,75746,76375,77532,79902,78981,1
JPM Chase Bank,0,Biltmore Branch,2457,1969-03-03,2620 East Camelback Road,Phoenix,Maricopa,AZ,85016,291101,295234,322781,349952,369043,397267,416611,1
